Object ID:1
Tracking Start:2018-11-09 19:02:58
2018-11-09 19:06:32[ 222.  312.]
2018-11-09 19:06:32[ 207.  302.]
2018-11-09 19:06:33[ 198.5  302.5]
2018-11-09 19:06:33[ 192.5  179.5]
2018-11-09 19:06:35[ 244.  163.]
2018-11-09 19:06:35[ 244.  163.]
2018-11-09 19:06:35[ 244.  163.]
2018-11-09 19:06:35[ 227.5  174.5]
2018-11-09 19:06:36[ 233.5  181.5]
2018-11-09 19:06:36[ 237.5  180.5]
2018-11-09 19:06:36[ 249.5  178.5]
2018-11-09 19:06:37[ 300.  169.]
2018-11-09 19:06:38[ 323.  174.]
2018-11-09 19:06:38[ 323.  174.]
2018-11-09 19:06:38[ 311.  172.]
2018-11-09 19:06:38[ 321.5  173.5]
2018-11-09 19:06:38[ 319.5  175.5]
2018-11-09 19:06:38[ 297.  171.]
2018-11-09 19:06:39[ 291.  167.]
2018-11-09 19:06:39[ 342.5  166.5]
2018-11-09 19:06:39[ 358.5  161.5]
2018-11-09 19:06:40[ 348.  136.]
2018-11-09 19:06:40[ 379.5  128.5]
Tracking End:2018-11-09 19:06:40

Object ID:16
Tracking Start:2018-11-09 19:06:57
2018-11-09 19:06:57[ 343.   94.]
2018-11-09 19:07:00[ 173.   95.]
2018-11-09 19:07:00[ 163.   91.]
2018-11-09 19:07:00[ 182.5  105.5]
2018-11-09 19:07:00[ 174.5  106.5]
2018-11-09 19:07:00[ 170.  114.]
Tracking End:2018-11-09 19:07:00

Object ID:17
Tracking Start:2018-11-09 19:07:05
2018-11-09 19:07:05[ 376.  201.]
Tracking End:2018-11-09 19:07:05

Object ID:18
Tracking Start:2018-11-09 19:07:08
2018-11-09 19:07:08[ 299.  428.]
Tracking End:2018-11-09 19:07:08

Object ID:19
Tracking Start:2018-11-09 19:07:13
2018-11-09 19:07:13[ 241.  141.]
2018-11-09 19:07:14[ 254.  138.]
2018-11-09 19:07:14[ 254.  138.]
2018-11-09 19:07:14[ 250.5  137.5]
2018-11-09 19:07:15[ 258.  140.]
2018-11-09 19:07:15[ 261.5  140.5]
2018-11-09 19:07:16[ 237.5  129.5]
2018-11-09 19:07:17[ 194.5  109.5]
Tracking End:2018-11-09 19:07:17

Object ID:20
Tracking Start:2018-11-09 19:07:33
2018-11-09 19:07:33[ 183.5  143.5]
2018-11-09 19:07:35[ 233.  112.]
2018-11-09 19:07:36[ 227.  103.]
2018-11-09 19:07:36[ 228.  101.]
2018-11-09 19:07:36[ 234.  102.]
2018-11-09 19:07:36[ 229.5  102.5]
2018-11-09 19:07:37[ 225.5  106.5]
2018-11-09 19:07:37[ 231.  111.]
2018-11-09 19:07:37[ 234.  112.]
2018-11-09 19:07:37[ 231.  109.]
2018-11-09 19:07:38[ 237.5  111.5]
2018-11-09 19:07:38[ 238.5  111.5]
2018-11-09 19:07:38[ 237.  111.]
2018-11-09 19:07:39[ 239.5  110.5]
2018-11-09 19:07:39[ 239.5  111.5]
2018-11-09 19:07:39[ 248.  117.]
2018-11-09 19:07:39[ 252.5  123.5]
2018-11-09 19:07:40[ 238.  118.]
2018-11-09 19:07:40[ 142.  116.]
2018-11-09 19:07:41[ 114.  116.]
2018-11-09 19:07:41[ 114.  116.]
2018-11-09 19:07:41[ 120.5  115.5]
2018-11-09 19:07:41[ 169.5  118.5]
2018-11-09 19:07:42[ 149.  112.]
Tracking End:2018-11-09 19:07:42

Object ID:21
Tracking Start:2018-11-09 19:07:50
2018-11-09 19:07:50[ 240.  138.]
2018-11-09 19:07:51[ 236.5  108.5]
2018-11-09 19:07:51[ 237.  107.]
2018-11-09 19:07:51[ 237.  107.]
2018-11-09 19:07:51[ 246.5  112.5]
2018-11-09 19:07:52[ 247.  115.]
2018-11-09 19:07:52[ 239.5  116.5]
2018-11-09 19:07:52[ 250.  118.]
2018-11-09 19:07:54[ 367.5  212.5]
2018-11-09 19:07:55[ 243.5  107.5]
2018-11-09 19:07:55[ 243.5  107.5]
2018-11-09 19:07:55[ 224.  106.]
2018-11-09 19:07:55[ 178.  108.]
2018-11-09 19:07:56[ 163.  105.]
2018-11-09 19:07:57[ 192.  115.]
2018-11-09 19:07:57[ 177.  118.]
Tracking End:2018-11-09 19:07:57

Object ID:22
Tracking Start:2018-11-09 19:08:06
2018-11-09 19:08:06[ 124.5  193.5]
2018-11-09 19:08:06[ 111.5  176.5]
2018-11-09 19:08:06[  88.5  152.5]
2018-11-09 19:08:07[ 102.5  153.5]
2018-11-09 19:08:07[ 228.  190.]
2018-11-09 19:08:07[ 268.  184.]
Tracking End:2018-11-09 19:08:07

Object ID:23
Tracking Start:2018-11-09 19:08:10
2018-11-09 19:08:10[  34.  344.]
Tracking End:2018-11-09 19:08:10

Object ID:24
Tracking Start:2018-11-09 19:08:20
2018-11-09 19:08:20[ 249.  124.]
2018-11-09 19:08:22[ 231.5  106.5]
2018-11-09 19:08:23[ 217.5  109.5]
2018-11-09 19:08:24[ 215.5  110.5]
2018-11-09 19:08:24[ 211.5  112.5]
2018-11-09 19:08:24[ 212.5  112.5]
2018-11-09 19:08:25[ 216.  119.]
2018-11-09 19:08:25[ 220.5  119.5]
2018-11-09 19:08:25[ 220.5  119.5]
2018-11-09 19:08:25[ 225.5  118.5]
2018-11-09 19:08:25[ 225.5  118.5]
2018-11-09 19:08:25[ 239.  122.]
2018-11-09 19:08:26[ 256.  127.]
Tracking End:2018-11-09 19:08:26

Object ID:25
Tracking Start:2018-11-09 19:08:30
2018-11-09 19:08:30[ 268.  122.]
2018-11-09 19:08:30[ 252.  122.]
2018-11-09 19:08:31[ 227.5  119.5]
2018-11-09 19:08:31[ 194.5  131.5]
2018-11-09 19:08:33[ 254.  209.]
Tracking End:2018-11-09 19:08:33

Object ID:26
Tracking Start:2018-11-09 19:08:37
2018-11-09 19:08:37[ 272.  153.]
2018-11-09 19:08:40[ 254.  136.]
Tracking End:2018-11-09 19:08:40

Object ID:27
Tracking Start:2018-11-09 19:08:44
2018-11-09 19:08:44[ 251.5  130.5]
Tracking End:2018-11-09 19:08:45

Object ID:28
Tracking Start:2018-11-09 19:08:52
2018-11-09 19:08:52[ 225.  116.]
Tracking End:2018-11-09 19:08:52

Object ID:29
Tracking Start:2018-11-09 19:08:57
2018-11-09 19:08:57[ 246.  109.]
2018-11-09 19:08:58[ 237.  105.]
2018-11-09 19:08:59[ 281.5  114.5]
2018-11-09 19:09:01[ 253.  112.]
2018-11-09 19:09:02[ 212.  108.]
2018-11-09 19:09:02[ 196.5  136.5]
2018-11-09 19:09:03[ 196.5  151.5]
2018-11-09 19:09:03[ 196.5  151.5]
2018-11-09 19:09:03[ 103.5  146.5]
Tracking End:2018-11-09 19:09:03

Object ID:30
Tracking Start:2018-11-09 19:09:03
2018-11-09 19:09:03[ 209.  164.]
2018-11-09 19:09:04[ 237.  174.]
2018-11-09 19:09:04[ 241.5  174.5]
2018-11-09 19:09:06[ 254.5  117.5]
2018-11-09 19:09:07[ 233.5  107.5]
2018-11-09 19:09:07[ 233.5  107.5]
2018-11-09 19:09:07[ 231.5  108.5]
2018-11-09 19:09:08[ 225.  116.]
2018-11-09 19:09:09[ 225.  116.]
2018-11-09 19:09:09[ 232.5  119.5]
2018-11-09 19:09:09[ 229.5  121.5]
2018-11-09 19:09:09[ 239.5  126.5]
2018-11-09 19:09:11[ 237.  131.]
2018-11-09 19:09:11[ 219.  131.]
2018-11-09 19:09:11[ 219.5  139.5]
Tracking End:2018-11-09 19:09:11

Object ID:31
Tracking Start:2018-11-09 19:09:17
2018-11-09 19:09:17[ 289.  151.]
2018-11-09 19:09:17[ 202.  152.]
2018-11-09 19:09:18[ 242.  158.]
2018-11-09 19:09:18[ 177.5  167.5]
2018-11-09 19:09:18[ 222.  173.]
2018-11-09 19:09:19[ 252.5  144.5]
2018-11-09 19:09:20[ 202.  144.]
2018-11-09 19:09:20[ 266.5  165.5]
2018-11-09 19:09:20[ 181.  177.]
2018-11-09 19:09:21[ 193.  123.]
2018-11-09 19:09:21[ 127.  131.]
2018-11-09 19:09:21[ 115.5  138.5]
2018-11-09 19:09:22[ 165.  146.]
2018-11-09 19:09:22[ 165.  146.]
2018-11-09 19:09:23[ 208.5  164.5]
2018-11-09 19:09:23[ 252.5  167.5]
